creation, empty_87, empty, java.awt.Point[x=12,y=8], NORTH
creation, wall_47, wall, java.awt.Point[x=13,y=8], NORTH
creation, wall_48, wall, java.awt.Point[x=14,y=8], NORTH
creation, wall_49, wall, java.awt.Point[x=15,y=8], NORTH
creation, wall_50, wall, java.awt.Point[x=16,y=8], NORTH
creation, wall_51, wall, java.awt.Point[x=17,y=8], NORTH
creation, wall_52, wall, java.awt.Point[x=0,y=9], NORTH
creation, small_fish_87, small fish, java.awt.Point[x=1,y=9], NORTH
creation, small_fish_87, small fish, java.awt.Point[x=2,y=9], NORTH
creation, empty_88, empty, java.awt.Point[x=3,y=9], NORTH
creation, small_fish_88, small fish, java.awt.Point[x=4,y=9], NORTH
creation, empty_89, empty, java.awt.Point[x=5,y=9], NORTH
creation, small_fish_89, small fish, java.awt.Point[x=6,y=9], NORTH
creation, empty_90, empty, java.awt.Point[x=7,y=9], NORTH
creation, small_fish_90, small fish, java.awt.Point[x=8,y=9], NORTH
creation, big_fish_90, big_fish, java.awt.Point[x=9,y=9], NORTH
creation, empty_91, empty, java.awt.Point[x=10,y=9], NORTH
creation, empty_92, empty, java.awt.Point[x=11,y=9], NORTH
creation, empty_93, empty, java.awt.Point[x=12,y=9], NORTH
creation, empty_94, empty, java.awt.Point[x=13,y=9], NORTH
creation, empty_95, empty, java.awt.Point[x=14,y=9], NORTH
creation, small_fish_95, small fish, java.awt.Point[x=15,y=9], NORTH
creation, empty_96, empty, java.awt.Point[x=16,y=9], NORTH
creation, wall_53, wall, java.awt.Point[x=17,y=9], NORTH
creation, wall_54, wall, java.awt.Point[x=0,y=10], NORTH
creation, empty_97, empty, java.awt.Point[x=1,y=10], NORTH
creation, empty_98, empty, java.awt.Point[x=2,y=10], NORTH
creation, small_fish_98, small fish, java.awt.Point[x=3,y=10], NORTH
creation, empty_99, empty, java.awt.Point[x=4,y=10], NORTH
creation, wall_55, wall, java.awt.Point[x=5,y=10], NORTH
creation, empty_100, empty, java.awt.Point[x=6,y=10], NORTH
creation, empty_101, empty, java.awt.Point[x=7,y=10], NORTH
creation, empty_102, empty, java.awt.Point[x=8,y=10], NORTH
creation, empty_103, empty, java.awt.Point[x=9,y=10], NORTH
creation, empty_104, empty, java.awt.Point[x=10,y=10], NORTH
creation, empty_105, empty, java.awt.Point[x=11,y=10], NORTH
creation, small_fish_105, small fish, java.awt.Point[x=12,y=10], NORTH
creation, empty_106, empty, java.awt.Point[x=13,y=10], NORTH
creation, empty_107, empty, java.awt.Point[x=14,y=10], NORTH
creation, empty_108, empty, java.awt.Point[x=15,y=10], NORTH
creation, empty_109, empty, java.awt.Point[x=16,y=10], NORTH
creation, wall_56, wall, java.awt.Point[x=17,y=10], NORTH
creation, wall_57, wall, java.awt.Point[x=0,y=11], NORTH
creation, small_fish_109, small fish, java.awt.Point[x=1,y=11], NORTH
creation, empty_110, empty, java.awt.Point[x=2,y=11], NORTH
creation, empty_111, empty, java.awt.Point[x=3,y=11], NORTH
creation, wall_58, wall, java.awt.Point[x=4,y=11], NORTH
creation, empty_112, empty, java.awt.Point[x=5,y=11], NORTH
creation, empty_113, empty, java.awt.Point[x=6,y=11], NORTH
creation, small_fish_113, small fish, java.awt.Point[x=7,y=11], NORTH
creation, empty_114, empty, java.awt.Point[x=8,y=11], NORTH
creation, small_fish_114, small fish, java.awt.Point[x=9,y=11], NORTH
creation, empty_115, empty, java.awt.Point[x=10,y=11], NORTH
creation, empty_116, empty, java.awt.Point[x=11,y=11], NORTH
creation, empty_117, empty, java.awt.Point[x=12,y=11], NORTH
creation, small_fish_117, small fish, java.awt.Point[x=13,y=11], NORTH
creation, empty_118, empty, java.awt.Point[x=14,y=11], NORTH
creation, small_fish_118, small fish, java.awt.Point[x=15,y=11], NORTH
creation, empty_119, empty, java.awt.Point[x=16,y=11], NORTH
creation, wall_59, wall, java.awt.Point[x=17,y=11], NORTH
creation, wall_60, wall, java.awt.Point[x=0,y=12], NORTH
creation, empty_120, empty, java.awt.Point[x=1,y=12], NORTH
creation, empty_121, empty, java.awt.Point[x=2,y=12], NORTH
creation, empty_122, empty, java.awt.Point[x=3,y=12], NORTH
creation, wall_61, wall, java.awt.Point[x=4,y=12], NORTH
creation, empty_123, empty, java.awt.Point[x=5,y=12], NORTH
creation, empty_124, empty, java.awt.Point[x=6,y=12], NORTH
creation, empty_125, empty, java.awt.Point[x=7,y=12], NORTH
creation, empty_126, empty, java.awt.Point[x=8,y=12], NORTH
creation, empty_127, empty, java.awt.Point[x=9,y=12], NORTH
creation, empty_128, empty, java.awt.Point[x=10,y=12], NORTH
creation, wall_62, wall, java.awt.Point[x=11,y=12], NORTH
creation, empty_129, empty, java.awt.Point[x=12,y=12], NORTH
creation, empty_130, empty, java.awt.Point[x=13,y=12], NORTH
creation, empty_131, empty, java.awt.Point[x=14,y=12], NORTH
creation, empty_132, empty, java.awt.Point[x=15,y=12], NORTH
creation, small_fish_132, small fish, java.awt.Point[x=16,y=12], NORTH
creation, wall_63, wall, java.awt.Point[x=17,y=12], NORTH
creation, wall_64, wall, java.awt.Point[x=0,y=13], NORTH
creation, empty_133, empty, java.awt.Point[x=1,y=13], NORTH
creation, small_fish_133, small fish, java.awt.Point[x=2,y=13], NORTH
creation, empty_134, empty, java.awt.Point[x=3,y=13], NORTH
creation, wall_65, wall, java.awt.Point[x=4,y=13], NORTH
creation, empty_135, empty, java.awt.Point[x=5,y=13], NORTH
creation, big_fish_135, big_fish, java.awt.Point[x=6,y=13], NORTH
creation, empty_136, empty, java.awt.Point[x=7,y=13], NORTH
creation, empty_137, empty, java.awt.Point[x=8,y=13], NORTH
creation, robot_2, robot, java.awt.Point[x=9,y=13], NORTH
creation, empty_138, empty, java.awt.Point[x=10,y=13], NORTH
creation, wall_66, wall, java.awt.Point[x=11,y=13], NORTH
creation, empty_139, empty, java.awt.Point[x=12,y=13], NORTH
creation, empty_140, empty, java.awt.Point[x=13,y=13], NORTH
creation, empty_141, empty, java.awt.Point[x=14,y=13], NORTH
creation, big_fish_141, big_fish, java.awt.Point[x=15,y=13], NORTH
creation, empty_142, empty, java.awt.Point[x=16,y=13], NORTH
creation, wall_67, wall, java.awt.Point[x=17,y=13], NORTH
creation, wall_68, wall, java.awt.Point[x=0,y=14], NORTH
creation, empty_143, empty, java.awt.Point[x=1,y=14], NORTH
creation, wall_69, wall, java.awt.Point[x=2,y=14], NORTH
creation, empty_144, empty, java.awt.Point[x=3,y=14], NORTH
creation, small_fish_144, small fish, java.awt.Point[x=4,y=14], NORTH
creation, empty_145, empty, java.awt.Point[x=5,y=14], NORTH
creation, empty_146, empty, java.awt.Point[x=6,y=14], NORTH
creation, empty_147, empty, java.awt.Point[x=7,y=14], NORTH
creation, empty_148, empty, java.awt.Point[x=8,y=14], NORTH
creation, empty_149, empty, java.awt.Point[x=9,y=14], NORTH
creation, empty_150, empty, java.awt.Point[x=10,y=14], NORTH
creation, wall_70, wall, java.awt.Point[x=11,y=14], NORTH
creation, empty_151, empty, java.awt.Point[x=12,y=14], NORTH
creation, empty_152, empty, java.awt.Point[x=13,y=14], NORTH
creation, small_fish_152, small fish, java.awt.Point[x=14,y=14], NORTH
creation, empty_153, empty, java.awt.Point[x=15,y=14], NORTH
creation, empty_154, empty, java.awt.Point[x=16,y=14], NORTH
creation, wall_71, wall, java.awt.Point[x=17,y=14], NORTH
creation, wall_72, wall, java.awt.Point[x=0,y=15], NORTH
creation, empty_155, empty, java.awt.Point[x=1,y=15], NORTH
creation, wall_73, wall, java.awt.Point[x=2,y=15], NORTH
creation, empty_156, empty, java.awt.Point[x=3,y=15], NORTH
creation, empty_157, empty, java.awt.Point[x=4,y=15], NORTH
